"id","pos","name","team","matches","MV","FMV","goals","allowed","saved","penalties","scored","missed","assist","yellow","red","own","season"
2651,"D","Lisandro Lopez","Genoa",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2653,"D","Lykogiannis","Cagliari",10,5.5,5.55,0,0,0,0,0,0,1,1,0,0,"2018/2019"
2752,"D","Rasmussen","Empoli",13,5.31,5.27,0,0,0,0,0,0,1,3,0,0,"2018/2019"
2754,"D","Hancko","Fiorentina",4,5.88,6.12,0,0,0,0,0,0,1,0,0,0,"2018/2019"
2772,"D","Durmisi","Lazio",8,5.56,5.31,0,0,0,0,0,0,0,4,0,0,"2018/2019"
2787,"D","Dickmann","SPAL",4,5.5,5.38,0,0,0,0,0,0,0,1,0,0,"2018/2019"
4323,"D","Zeegelaar","Udinese",12,5.46,5.17,0,0,0,0,0,0,0,5,1,0,"2018/2019"
4329,"D","Nikolaou","Empoli",4,6,6,0,0,0,0,0,0,0,0,0,0,"2018/2019"
261,"D","Ranocchia","Inter",2,6,5.75,0,0,0,0,0,0,0,1,0,0,"2018/2019"
583,"D","Heurtaux","Udinese",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
770,"D","Pezzella Giu.","Genoa",5,5.2,4.9,0,0,0,0,0,0,0,1,1,0,"2018/2019"
1867,"D","Krajnc","Frosinone",9,5.44,5.28,0,0,0,0,0,0,0,3,0,0,"2018/2019"
2052,"D","Gomez G","Milan",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2174,"D","Venuti","Fiorentina",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2212,"D","Vaisanen","SPAL",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2664,"D","El Yamiq","Genoa",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2739,"D","Reca","Atalanta",1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2747,"D","Paz","Bologna",2,5.5,5.25,0,0,0,0,0,0,0,1,0,0,"2018/2019"
2788,"D","Bremer","Torino",2,5.75,5.5,0,0,0,0,0,0,0,1,0,0,"2018/2019"
2797,"D","Junior Tavares","Sampdoria",3,5.67,5.5,0,0,0,0,0,0,0,1,0,0,"2018/2019"
