"id","name","p","d","c","a"
"2877","Burruchaga",0,0,1,0
"83","Lollo",0,0,1,0
"174","Diakhate",0,0,1,0
"372","Montolivo",0,0,1,0
"599","Pontisso",0,0,1,0
"726","Vitale",0,0,1,0
"813","Balic",0,0,1,0
"1873","Di Gennaro D",0,0,1,0
"1875","Munari",0,0,1,0
"1936","Minala",0,0,1,0
"2144","Coulibaly M.",0,0,1,0
"2185","Gaudino",0,0,1,0
"2293","Omeonga",0,0,1,0
"2725","Caligara",0,0,1,0
"2732","Stijepovic",0,0,1,0
"2774","Halilovic",0,0,1,0
"2780","Coric",0,0,1,0
"2785","Peeters",0,0,1,0
"2835","Kingsley",0,0,1,0
"2843","Emmers",0,0,1,0
"2846","Baumgartner",0,0,1,0
"2848","Frattesi",0,0,1,0
"2850","Katuma",0,0,1,0
"2852","Riccardi",0,0,1,0
"4353","Montiel",0,0,1,0
"2610","Ronaldo",0,0,0,1
"568","Quagliarella",0,0,0,1
"410","Mertens",0,0,0,1
"608","Zapata D.",0,0,0,1
"785","Immobile",0,0,0,1
"2756","Piatek",0,0,0,1
"441","Belotti",0,0,0,1
"277","Icardi",0,0,0,1
"408","Higuain",0,0,0,1
"475","Iago Falque",0,0,0,1
"647","Dzeko",0,0,0,1
"2012","Milik",0,0,0,1
"26","Gomez",0,0,1,1
"247","Pavoletti",0,0,0,1
"309","Dybala",0,0,0,1
"312","Mandzukic",0,0,0,1
"409","Insigne",0,0,0,1
"383","Petagna",0,0,0,1
"406","Callejon",0,0,1,1
"507","Muriel",0,0,0,1
"643","Defrel",0,0,0,1
"375","Suso",0,0,1,1
"795","El Shaarawy",0,0,1,1
"2201","Under",0,0,1,1
"2819","Caputo",0,0,0,1
"345","Keita B.",0,0,0,1
"407","Gabbiadini",0,0,0,1
"531","Berardi",0,0,0,1
"123","Inglese",0,0,0,1
"2061","Simeone",0,0,0,1
"2267","Antenucci",0,0,0,1
"90","Lasagna",0,0,0,1
"474","Gervinho",0,0,0,1
"536","Politano",0,0,1,1
"2167","Orsolini",0,0,1,1
"4324","Okaka",0,0,0,1
"315","Zaza",0,0,0,1
"652","Kalinic",0,0,0,1
"1879","Farias",0,0,0,1
"2743","Santander",0,0,0,1
"2764","Martinez L.",0,0,0,1
"183","Babacar",0,0,0,1
"280","Palacio",0,0,0,1
"478","Ljajic",0,0,0,1
"2155","Cutrone",0,0,0,1
"2692","Castillejo",0,0,1,1
"2779","Kluivert",0,0,1,1
"472","Destro",0,0,0,1
"537","Sansone",0,0,0,1
"2284","Caicedo",0,0,0,1
"1958","Caprari",0,0,0,1
"1974","Schick",0,0,0,1
"212","Ciofani D",0,0,0,1
"382","Niang",0,0,0,1
"447","La Gumina",0,0,0,1
"479","Sanabria",0,0,0,1
"1857","Di Francesco F.",0,0,1,1
"1998","Pjaca",0,0,0,1
"2175","Andre' Silva",0,0,0,1
"2762","Kouame'",0,0,0,1
"2812","Ciano",0,0,0,1
"2826","Pussetto",0,0,0,1
"245","Pandev",0,0,0,1
"2038","Pinamonti",0,0,0,1
"2097","Kean",0,0,0,1
"532","Falcinelli",0,0,0,1
"533","Floccari",0,0,0,1
"637","Siligardi",0,0,0,1
"2327","Stepinski",0,0,0,1
"2719","Barrow",0,0,0,1
"2776","Younes",0,0,1,1
"2868","Rigoni E",0,0,0,1
"126","Paloschi",0,0,0,1
"127","Pellissier",0,0,0,1
"2195","Ounas",0,0,0,1
"2325","Karamoh",0,0,0,1
"2827","Machis",0,0,0,1
"2858","Galano",0,0,0,1
"2859","Mirallas",0,0,0,1
"2867","Campbell",0,0,0,1
"2873","Teodorczyk",0,0,0,1
"4337","Oberlin",0,0,0,1
"124","Meggiorini",0,0,0,1
"606","Thereau",0,0,0,1
"1882","Sau",0,0,0,1
"1939","Lapadula",0,0,0,1
"2198","Kownacki",0,0,0,1
"213","Dionisi F.",0,0,0,1
"344","Djordjevic",0,0,0,1
"819","Favilli",0,0,0,1
"2146","Han",0,0,0,1
"2246","Ceravolo",0,0,0,1
"380","Matri",0,0,0,1
"605","Perica",0,0,0,1
"1982","Parigini",0,0,1,1
"2163","Cornelius",0,0,0,1
"2317","Brignola",0,0,0,1
"2334","Leris",0,0,1,1
"2658","Medeiros",0,0,0,1
"2773","Sprocati",0,0,0,1
"306","Cerri",0,0,0,1
"789","Trotta",0,0,0,1
"1988","Ewandro",0,0,0,1
"2196","Galabinov",0,0,0,1
"2750","Mraz",0,0,0,1
"2791","Vizeu",0,0,0,1
"4333","Despodov",0,0,0,1
"154","Mchedlidze",0,0,0,1
"156","Pucciarelli",0,0,0,1
"778","Tumminello",0,0,0,1
"1839","Edera",0,0,0,1
"2100","Okwonkwo",0,0,0,1
"2114","Petkovic",0,0,0,1
"2333","Pedro Neto",0,0,0,1
"2841","Vlahovic",0,0,0,1
"4335","Schiappacasse",0,0,0,1
"215","Verde",0,0,0,1
"718","Rodriguez A",0,0,0,1
"2013","Ricci F.",0,0,0,1
"2073","Ragusa",0,0,0,1
"2207","Zekhnini",0,0,0,1
"2650","Avenatti",0,0,0,1
"2765","Odgaard",0,0,0,1
"2807","Da Cruz",0,0,0,1
"2878","Dalmonte",0,0,0,1
"4359","Piccoli",0,0,0,1
"2040","Lombardi",0,0,0,1
"2108","Rossi A",0,0,0,1
"2137","Scamacca",0,0,0,1
"2152","Jakupovic",0,0,0,1
"2304","Salcedo E.",0,0,0,1
"2794","Micin",0,0,0,1
"2805","Baraye",0,0,0,1
"2806","Calaio'",0,0,0,1
"2839","Sottil",0,0,1,1
"2840","Graiciar",0,0,0,1
"2842","Zanimacchia",0,0,0,1
"2844","Colidio",0,0,0,1
"2849","Damascan",0,0,0,1
"2853","Moncini",0,0,0,1
"2872","Ardaiz",0,0,0,1
"4346","Millico",0,0,0,1
"4347","Doratiotto",0,0,0,1
"2211","Silvestri",1,0,0,0
"4419","Pau Lopez",1,0,0,0
"4425","Joronen",1,0,0,0
"282","Buffon",1,0,0,0
"4441","Andrenacci",1,0,0,0
"3","Radunovic",1,0,0,0
"42","Sarr M.",1,0,0,0
"220","Ujkani",1,0,0,0
"412","Colombi",1,0,0,0
"654","Alastra",1,0,0,0
"2096","Cucchietti",1,0,0,0
"2270","Zaccagno",1,0,0,0
"2294","Cerofolini",1,0,0,0
"2809","Vigorito",1,0,0,0
"4410","Borghetto",1,0,0,0
"4440","Alfonso",1,0,0,0
"4468","Bleve",1,0,0,0
"4469","Milli",1,0,0,0
"4485","Thiam D.",1,0,0,0
"4491","Berardi A.",1,0,0,0
"4518","Russo A.",1,0,0,0
"4520","Letica",1,0,0,0
"4523","Avogadri",1,0,0,0
"4525","Gemello",1,0,0,0
"4867","Turati",1,0,0,0
"4878","Begovic",1,0,0,0
"4883","Breza",1,0,0,0
"4889","Chironi",1,0,0,0
"4929","Ciocci",1,0,0,0
"2707","Young",0,1,0,0
"4292","Hernandez T.",0,1,0,0
"581","Faraoni",0,1,0,0
"4245","Smalling",0,1,0,0
"546","Bruno Peres",0,1,0,0
"4428","De Ligt",0,1,0,0
"4521","Muldur",0,1,0,0
"2446","Donati",0,1,0,0
"2525","Darmian",0,1,0,0
"4516","Skrtel",0,1,0,0
"791","Sabelli",0,1,0,0
"2572","Godin",0,1,0,0
"4409","Rrahmani",0,1,0,0
"4530","Kyriakopoulos",0,1,0,0
"4895","Yoshida",0,1,0,0
"2184","Gravillon",0,1,0,0
"4237","Danilo",0,1,0,0
"4421","Augello",0,1,0,0
"4422","Tomiyasu",0,1,0,0
"4426","Toljan",0,1,0,0
"4495","Kumbulla",0,1,0,0
"4891","Soumaoro",0,1,0,0
"139","Dermaku",0,1,0,0
"2241","Lucioni",0,1,0,0
"2633","Kjaer",0,1,0,0
"4412","Rodrigo Becao",0,1,0,0
"4429","Chancellor",0,1,0,0
"4470","Calderoni",0,1,0,0
"4899","Singo",0,1,0,0
"84","Marrone",0,1,0,0
"4920","Papetti",0,1,0,0
"423","Rispoli",0,1,0,0
"1896","Martella",0,1,0,0
"4373","Mateju",0,1,0,0
"4399","Vera",0,1,0,0
"4407","Igor",0,1,0,0
"4444","Semprini",0,1,0,0
"4472","Meccariello",0,1,0,0
"4529","Ankersen",0,1,0,0
"4888","Sutalo",0,1,0,0
"4945","Calafiori",0,1,0,0
"259","Murillo",0,1,0,0
"554","Zappacosta",0,1,0,0
"1979","Barreca",0,1,0,0
"4374","Walukiewicz",0,1,0,0
"4401","Gabbia",0,1,0,0
"4403","Chabot",0,1,0,0
"4414","Denswil",0,1,0,0
"4442","Cistana",0,1,0,0
"4492","Balkovec",0,1,0,0
"4504","Mangraviti",0,1,0,0
"4526","Arana",0,1,0,0
"4925","Carboni",0,1,0,0
"5","Almici",0,1,0,0
"47","Gastaldello",0,1,0,0
"457","Crescenzi",0,1,0,0
"805","Fiamozzi",0,1,0,0
"2724","Buongiorno",0,1,0,0
"4365","Corbo",0,1,0,0
